Frame,EVOL Sum
1,960171.732623
2,954342.48484
3,956599.536434
4,956151.645654
5,956921.797754
6,958266.012025
7,959176.531069
8,961311.960886
9,963295.117079
10,965619.09874
11,968950.067458
12,971886.979939
13,975970.521461
14,979898.572877
15,984156.385003
16,988790.84205
17,993095.258781
18,997749.849443
19,1001718.52285
20,1005681.3475
21,1008516.55678
22,1011006.19416
23,1013285.27304
24,1015889.53077
25,1019014.76148
26,1022446.85973
27,1025990.45498
28,1030059.28307
29,1034608.52784
30,1039268.34618
31,1043918.99883
32,1049150.72611
33,1054574.70262
34,1059886.05776
35,1065274.3743
36,1070873.07704
37,1076559.02853
38,1082036.26551
39,1087511.6124
40,1093196.3206
41,1098428.10576
42,1103451.97507
43,1108393.81833
44,1113307.71838
45,1117902.81468
46,1122309.17522
47,1126326.84517
48,1129916.45855
49,1133171.25061
50,1136201.29016
51,1139099.42483
