Frame,EVOL Sum
1,959414.401811
2,953770.096942
3,955994.931972
4,955413.221163
5,956213.655285
6,957483.140706
7,958338.77967
8,960644.965568
9,962632.498575
10,965002.803817
11,968360.604924
12,971274.176907
13,975264.936589
14,979195.20383
15,983523.614859
16,987999.238999
17,992556.269117
18,997177.841641
19,1001330.01246
20,1005402.09243
21,1008519.83542
22,1011199.91418
23,1013700.68425
24,1016329.44232
25,1019362.53116
26,1022969.8081
27,1026741.84075
28,1030828.7656
29,1035246.74657
30,1039924.27183
31,1044929.7418
32,1049899.53242
33,1055539.03639
34,1061150.94482
35,1066428.04567
36,1072156.51388
37,1077836.09771
38,1083467.13859
39,1089012.76083
40,1094712.49826
41,1100337.78862
42,1105450.70723
43,1110514.67193
44,1115459.32921
45,1120070.71364
46,1124431.54502
47,1128433.1852
48,1132228.57727
49,1135587.56299
50,1138654.23353
51,1141782.55329
