Frame,EVOL Sum
1,960418.48986
2,954759.416742
3,956836.150175
4,956395.658789
5,957287.665727
6,958570.770326
7,959469.486936
8,961558.558987
9,963650.002442
10,965994.568107
11,969407.905996
12,972457.070348
13,976435.330075
14,980457.400012
15,984737.673506
16,989272.574447
17,993768.236457
18,998454.138699
19,1002566.31065
20,1006528.16984
21,1009414.75151
22,1011767.32401
23,1014066.72431
24,1016825.48183
25,1020106.98416
26,1023452.054
27,1026949.36636
28,1031129.32576
29,1035851.67863
30,1040568.54991
31,1045344.34294
32,1050693.16775
33,1056131.39663
34,1061644.08772
35,1067137.81347
36,1072965.40792
37,1078730.51076
38,1084284.91788
39,1090138.32463
40,1095603.88549
41,1100910.83242
42,1106160.9618
43,1111321.11153
44,1116255.21147
45,1120895.30663
46,1125205.72647
47,1129241.0232
48,1133052.38216
49,1136829.86202
50,1139869.40002
51,1142773.76587
